VEHICLE_YEAR_MANUF,VEHICLE_BODY_STYLE,VEHICLE_MAKE,CrashCount,NO_OF_WHEELS,NO_OF_CYLINDERS,SEATING_CAPACITY,TARE_WEIGHT,TOTAL_NO_OCCUPANTS,cluster
2007.0,SEDAN,TOYOTA,1848,0.20021645021645018,0.07366522366522364,0.06367243867243867,0.02139107142857143,0.02636054421768708,0
2008.0,SEDAN,TOYOTA,1786,0.1997760358342665,0.07226577081000372,0.06374980003199489,0.021391265397536392,0.025938706949745188,0
2010.0,SEDAN,TOYOTA,1623,0.19999999999999996,0.07069213390840007,0.06358986395954973,0.021807568289176422,0.026242659725627778,0
2011.0,SEDAN,TOYOTA,1521,0.19999999999999996,0.07055299875812694,0.06366947392588418,0.02210954415954416,0.02613747668692724,0
2002.0,SEDAN,HOLDEN,1488,0.19999999999999996,0.10340501792114692,0.06320404505888376,0.02346161514336918,0.02822580645161291,0
2006.0,SEDAN,TOYOTA,1477,0.19999999999999996,0.0700368615060558,0.06366401220835886,0.020250846310088017,0.02676412474265265,0
2001.0,SEDAN,HOLDEN,1472,0.19999999999999996,0.10152475845410625,0.06337344720496894,0.023072418478260873,0.027215505767524403,0
2013.0,SEDAN,TOYOTA,1457,0.19999999999999996,0.06974757873865628,0.06361190094889477,0.022649542438801188,0.026627260375667088,0
2003.0,SEDAN,HOLDEN,1454,0.19986244841815676,0.1056396148555708,0.06335014519333639,0.024036588720770292,0.028085787272267924,0
2005.0,SEDAN,TOYOTA,1438,0.19999999999999996,0.07343532684283725,0.06363556085391968,0.020484457579972186,0.026084981976100596,0
