VEHICLE_YEAR_MANUF,VEHICLE_BODY_STYLE,VEHICLE_MAKE,CrashCount,NO_OF_WHEELS,NO_OF_CYLINDERS,SEATING_CAPACITY,TARE_WEIGHT,TOTAL_NO_OCCUPANTS,cluster
2007.0,P MVR,KENWTH,82,0.39999999999999997,0.11111111111111108,0.015873015873015872,0.1535617886178862,0.021652563464410156,1
2010.0,P MVR,KENWTH,79,0.4253164556962024,0.11111111111111108,0.015873015873015872,0.153507805907173,0.020408163265306124,1
2012.0,P MVR,KENWTH,67,0.41791044776119396,0.11243781094527361,0.01729447998104714,0.1614305970149254,0.02071276271702711,1
2008.0,P MVR,KENWTH,64,0.4249999999999999,0.11111111111111108,0.01686507936507936,0.15542786458333335,0.02104591836734694,1
2014.0,P MVR,KENWTH,60,0.40999999999999986,0.11037037037037034,0.016666666666666663,0.18546527777777777,0.020408163265306124,1
2013.0,P MVR,KENWTH,59,0.41355932203389817,0.11035781544256118,0.01614205004035512,0.15679435028248587,0.020408163265306124,1
2004.0,P MVR,KENWTH,58,0.39999999999999997,0.11111111111111108,0.01614668856048166,0.15188649425287357,0.02146375791695989,1
2005.0,P MVR,KENWTH,46,0.39999999999999997,0.11111111111111108,0.015873015873015872,0.15100471014492753,0.021295474711623782,1
2003.0,P MVR,KENWTH,46,0.40869565217391296,0.11111111111111108,0.018288474810213937,0.15001992753623192,0.021295474711623782,1
2017.0,P MVR,KENWTH,45,0.39999999999999997,0.11111111111111108,0.01622574955908289,0.16111925925925927,0.021315192743764175,1
